,Unnamed: 0,Headline,Ranking,Review,ReviewDate,clean_text,lemmatized,sent_toke
0,0,Hurtig levering og gode varer,5,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",2019-12-14,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",hurtig levering . Stor udvalg af mærkevare . mange god tilbud . Boozt være lidt længe om at tilbagebetal ved returnering .,hurtig levering .
0,0,Hurtig levering og gode varer,5,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",2019-12-14,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",hurtig levering . Stor udvalg af mærkevare . mange god tilbud . Boozt være lidt længe om at tilbagebetal ved returnering .,stor udvalg af mærkevare .
0,0,Hurtig levering og gode varer,5,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",2019-12-14,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",hurtig levering . Stor udvalg af mærkevare . mange god tilbud . Boozt være lidt længe om at tilbagebetal ved returnering .,mange god tilbud .
0,0,Hurtig levering og gode varer,5,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",2019-12-14,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",hurtig levering . Stor udvalg af mærkevare . mange god tilbud . Boozt være lidt længe om at tilbagebetal ved returnering .,boozt være lidt længe om at tilbagebetal ved returnering .
1,1,Det fungerer bare 👍😊👏,5,Det fungerer bare 👍😊👏,2019-12-14,Det fungerer bare ,det fungere bare,det fungere bare
2,2,Super,5,"Super fin, hurtig levering.",2019-12-14,Super fin hurtig levering.,supe fin hurtig levering .,supe fin hurtig levering .
3,3,Boozt funker bare perfekt,5,Boozt funker bare perfekt - også når der skal byttes! Tak.,2019-12-14,Boozt funker bare perfekt  også når der skal byttes Tak.,Boozt funke bare perfekt også når der skulle bytte takke,boozt funke bare perfekt også når der skulle bytte takke
4,4,"Gode priser,hurtig levering og fin…",5,"Gode priser,hurtig levering og fin kundeservice !",2019-12-14,Gode priserhurtig levering og fin kundeservice ,Gode priserhurtig levering og fin kundeservice,gode priserhurtig levering og fin kundeservice
5,5,Ok levering nemt og hurtigt,5,"Ok levering nemt og hurtigt, nemt at returnere , så alt ok",2019-12-14,Ok levering nemt og hurtigt nemt at returnere  så alt ok,ok levering nemt og hurtigt nemt at returnere så al ok,ok levering nemt og hurtigt nemt at returnere så al ok
6,6,Fin oplevelse og “ingen slinger i…,5,Fin oplevelse og “ingen slinger i valsen “,2019-12-14,Fin oplevelse og ingen slinger i valsen ,fin oplevelse og ingen slinge i vals,fin oplevelse og ingen slinge i vals
7,7,Fint udvalg og hurtig levering,5,Fint udvalg og hurtig levering,2019-12-14,Fint udvalg og hurtig levering,fin udvalg og hurtig levering,fin udvalg og hurtig levering
8,8,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,god oplevelse at handle hos boozt.com .
8,8,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,vare komme i løb af dag .
8,8,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,ingen at klag over .
8,8,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,ville handle det igen .
9,9,"Altid stort udvalg, hurtig levering og nem retur",5,"Jeg elsker at handle hos jer og er vild med jeres hjemmeside, der er nem at navigere i.",2019-12-14,Jeg elsker at handle hos jer og er vild med jeres hjemmeside der er nem at navigere i.,jeg elske at handle hos I og være vild med jeres hjemmeside der være nem at naviger i .,jeg elske at handle hos i og være vild med jeres hjemmeside der være nem at naviger i .
10,10,Fin og perfekt service og levering,5,Fin og perfekt service og levering,2019-12-14,Fin og perfekt service og levering,fin og perfekt service og levering,fin og perfekt service og levering
11,11,Simpelthen fremragende,5,"Simpelthen fremragende! Jeg bestilte et par støvler, der på trods af travlhed var fremme 3 dage efter.",2019-12-14,Simpelthen fremragende Jeg bestilte et par støvler der på trods af travlhed var fremme  dage efter.,simpelthen fremragende jeg bestille en par støvle der på trods af travlhed være fremme dag efter .,simpelthen fremragende jeg bestille en par støvle der på trods af travlhed være fremme dag efter .
12,12,Super oplevelse som altid,5,Super oplevelse som altid. Jeg er fan.,2019-12-13,Super oplevelse som altid. Jeg er fan.,supe oplevelse som altid . jeg være fan .,supe oplevelse som altid .
12,12,Super oplevelse som altid,5,Super oplevelse som altid. Jeg er fan.,2019-12-13,Super oplevelse som altid. Jeg er fan.,supe oplevelse som altid . jeg være fan .,jeg være fan .
13,13,jeg er meget tilfreds,5,jeg er meget tilfreds,2019-12-13,jeg er meget tilfreds,jeg være meget tilfreds,jeg være meget tilfreds
14,14,Handler ikke på Bootz igen pga,1,Handler ikke på Bootz igen pga. dårlig kundeservice.,2019-12-13,Handler ikke på Bootz igen pga. dårlig kundeservice.,handler ikke på Bootz igen på_grund_af dårlig kundeservice .,handler ikke på bootz igen på_grund_af dårlig kundeservice .
15,15,Hurtig forsendelse alt er iorden,5,Hurtig forsendelse alt er iorden,2019-12-13,Hurtig forsendelse alt er iorden,hurtig forsendelse al være iorden,hurtig forsendelse al være iorden
16,16,Jeg kan altid finde gode tilbud på…,5,Jeg kan altid finde gode tilbud på forskelligt tøj til den rette anledning og anvendeligt.,2019-12-13,Jeg kan altid finde gode tilbud på forskelligt tøj til den rette anledning og anvendeligt.,jeg kunne altid finde god tilbud på forskelligt tøj til den rette anledning og anvendelig .,jeg kunne altid finde god tilbud på forskelligt tøj til den rette anledning og anvendelig .
17,17,Var som forventet,5,"Var som forventet , vil handle der igen☺️",2019-12-13,Var som forventet  vil handle der igen,være som forvente ville handle der igen,være som forvente ville handle der igen
18,18,Mega hurtig levering.,5,Mega hurtig levering.,2019-12-13,Mega hurtig levering.,Mega hurtig levering .,mega hurtig levering .
19,19,Absolut hurtigste levering,5,Absolut hurtigste levering,2019-12-13,Absolut hurtigste levering,absolut hurtigst levering,absolut hurtigst levering
20,20,Hurtig levering og gode varer,5,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",2019-12-14,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",hurtig levering . Stor udvalg af mærkevare . mange god tilbud . Boozt være lidt længe om at tilbagebetal ved returnering .,hurtig levering .
20,20,Hurtig levering og gode varer,5,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",2019-12-14,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",hurtig levering . Stor udvalg af mærkevare . mange god tilbud . Boozt være lidt længe om at tilbagebetal ved returnering .,stor udvalg af mærkevare .
