,Headline,Ranking,Review,ReviewDate
0,Alt gik som forventet,5,Alt gik som forventet. Imponeret over hvor hurtigt min vare var klar til afhentning,2020-01-15T13:14:16Z
1,Hurtig levering og fine varer,5,Hurtig levering og fine varer,2020-01-15T12:56:10Z
2,Super hurtig levering,5,"Super hurtig levering, og tøjet passede perfekt",2020-01-15T12:03:13Z
3,Super firma,5,"Super firma, hurtig levering og smidig returnering.
Mvh
Elisabeth",2020-01-15T11:58:36Z
4,Hurtigt og præcist,5,Hurtigt og præcist,2020-01-15T11:47:52Z
5,Altid hurtig levering,5,Altid hurtig levering,2020-01-15T11:21:13Z
6,Har for første gang købt på Boozt og er…,4,"Har for første gang købt på Boozt og er fuldt tilfreds med leverancen, der dog er købt som gave til min datter. Vil absolut købe hos Boozt igen.",2020-01-15T11:18:28Z
7,Jeg køber altid ved boozt,4,"Jeg køber altid ved boozt, de har en super service og hurtig levering. 
Men grunden til 4 stjerner den her gang er, at jeg købte en kjole til 1500 kr 2 dage efter er den så sat ned. Synes der burde være prisgaranti. 
Jeg kunne i bund og grund levere den jeg købte og købe en ny, for en billigere pris, men det er for bøvlet.. så man føler sig lidt snydt.",2020-01-15T10:37:37Z
8,Altid hurtig og præcis levering,5,"Altid hurtig og præcis levering. Og hurtig tilbagebetaling af penge ved retur. Det er jo desværre umuligt at bedømme pasform på billeder (som også er taknemmelige), så der ryger desværre lidt for ofte varer retur. Men det er ikke Boozt.com's skyld.",2020-01-15T10:16:52Z
9,Utrolig flot og hurtig levering,5,Utrolig flot og hurtig levering,2020-01-15T09:47:55Z
10,Levering dagen efter,5,"Levering dagen efter, varer som forventet. Super 👍😁",2020-01-15T09:42:05Z
11,Nemt at bestille,5,"Nemt at bestille, sikkert og hurtig levering",2020-01-15T09:41:07Z
12,Jeg vil anbefale Boozt.,5,"Et godt sted at handle. Der ér mange Brands at vælge imellem. Webshoppen ér nem at navigere i,og fragt,retur og refusion ér hurtig og uproblematisk. 
Jeg vil anbefale Boozt.",2020-01-15T09:29:35Z
